Country,Year,Revenue
England,2022,6453
Spain,2022,3320
Germany,2022,3229
Italy,2022,2346
France,2022,1995
Russia,2022,1050
Netherlands,2022,629
Portugal,2022,557
Turkey,2022,533
Belgium,2022,494
Scotland,2022,313
Denmark,2022,287
Austria,2022,267
Switzerland,2022,248
Sweden,2022,210
Norway,2022,161
Greece,2022,159
Hungary,2022,158
Poland,2022,153
Israel,2022,138
Ukraine,2022,11
Czechia,2022,97
Croatia,2022,97
Cyprus,2022,95
Romania,2022,9
Kazakhstan,2022,70
Serbia,2022,65
Bulgaria,2022,64
Slovakia,2022,51
Azerbaijan,2022,47
Belarus,2022,42
Finland,2022,33
Latvia,2022,29
Iceland,2022,27
Ireland,2022,26
Slovenia,2022,21
Luxembourg,2022,18
Bosnia,2022,17
Moldova,2022,16
Northern Ireland,2022,15
Lithuania,2022,15
Armenia,2022,14
Estonia,2022,13
Malta,2022,12
Georgia,2022,12
Kosovo,2022,10
Faroe Islands,2022,10
North Macedonia,2022,10
Wales,2022,10
Liechtenstein,2022,8
Montenegro,2022,8
Albania,2022,5
Gibraltar,2022,4
Andorra,2022,4
San Marino,2022,3
