name,annual_gross_gbp,season
Kevin De Bruyne,20800000,2024-2025
Harry Toffolo,1820000,2024-2025
Danilo,1560000,2024-2025
Crysencio Summerville,1560000,2024-2025
Ramón Sosa,1560000,2024-2025
Bilal El Khannouss,1820000,2024-2025
Tariq Lamptey,1820000,2024-2025
Jake O&#39;Brien,1820000,2024-2025
Adam Wharton,1820000,2024-2025
Sasa Kalajdzic,1820000,2024-2025
Matz Sels,1820000,2024-2025
Max Aarons,1820000,2024-2025
Jacob Murphy,1820000,2024-2025
Marcus Tavernier,1820000,2024-2025
Marcus Bettinelli,1820000,2024-2025
Harry Wilson,1820000,2024-2025
Nicolás Domínguez,1820000,2024-2025
Jacob Greaves,1300000,2024-2025
Jarrad Branthwaite,1820000,2024-2025
Jean-Ricner Bellegarde,1820000,2024-2025
Jens Cajuste,1820000,2024-2025
Bart Verbruggen,1820000,2024-2025
André Trindade,1820000,2024-2025
Joel Ward,1820000,2024-2025
Álex Moreno,1820000,2024-2025
Ben Brereton,1820000,2024-2025
Dango Ouattara,1820000,2024-2025
Rico Henry,1820000,2024-2025
Morato,1820000,2024-2025
Christian Nørgaard,1820000,2024-2025
Andrew Omobamidele,1820000,2024-2025
Keane Lewis-Potter,1820000,2024-2025
Dean Huijsen,1560000,2024-2025
Charlie Taylor,1560000,2024-2025
Chadi Riad,1560000,2024-2025
Ethan Pinnock,1560000,2024-2025
Jota Silva,1300000,2024-2025
Gustavo Nunes,1300000,2024-2025
Victor Kristiansen,1300000,2024-2025
George Hirst,1430000,2024-2025
Nathan Patterson,1456000,2024-2025
Amad Diallo,1500000,2024-2025
Youssef Chermiti,1560000,2024-2025
Vitaly Janelt,1560000,2024-2025
Tom Cairney,1560000,2024-2025
Scott Carson,1560000,2024-2025
Santiago Bueno,1560000,2024-2025
Samy Morsy,1560000,2024-2025
Paul Onuachu,1560000,2024-2025
Nathan Collins,1560000,2024-2025
Murillo,1560000,2024-2025
Milos Kerkez,1560000,2024-2025
Mikkel Damsgaard,1560000,2024-2025
Mark Flekken,1560000,2024-2025
Asmir Begovic,1560000,2024-2025
Ben Johnson,1560000,2024-2025
Joshua Da Silva,1560000,2024-2025
Jordan Ayew,1560000,2024-2025
João Gomes,1560000,2024-2025
Jarell Quansah,1560000,2024-2025
Jan Paul van Hecke,1560000,2024-2025
James Justin,1560000,2024-2025
James Garner,1560000,2024-2025
Flynn Downes,1560000,2024-2025
Evan Ferguson,1560000,2024-2025
Bobby Reid,1820000,2024-2025
Altay Bayındır,1820000,2024-2025
Vladimír Coufal,1820000,2024-2025
Lesley Ugochukwu,2340000,2024-2025
Fabian Schär,2340000,2024-2025
Rob Holding,2340000,2024-2025
Bryan Mbeumo,2340000,2024-2025
Roméo Lavia,2340000,2024-2025
Craig Dawson,2340000,2024-2025
Tom Heaton,2340000,2024-2025
Ryan Sessegnon,2340000,2024-2025
Daniel Muñoz,2340000,2024-2025
Calvin Bassey,2340000,2024-2025
Jack Stephens,2340000,2024-2025
Igor,2340000,2024-2025
Adam Lallana,2340000,2024-2025
Callum Wilson,2392000,2024-2025
Wout Faes,2600000,2024-2025
Neto,2600000,2024-2025
Wataru Endo,2600000,2024-2025
Neco Williams,2600000,2024-2025
Ilya Zabarnyi,2600000,2024-2025
Beto,2600000,2024-2025
Harrison Reed,2600000,2024-2025
Ryan Yates,2600000,2024-2025
Djed Spence,2600000,2024-2025
Solly March,2600000,2024-2025
Maxence Lacroix,2600000,2024-2025
Filip Jørgensen,2600000,2024-2025
Will Hughes,2600000,2024-2025
Tino Livramento,2600000,2024-2025
Marc Guéhi,2600000,2024-2025
Marc Guiu,2600000,2024-2025
Philip Billing,2340000,2024-2025
Malo Gusto,2340000,2024-2025
Kristoffer Ajer,2080000,2024-2025
Mario Lemina,2340000,2024-2025
Elliot Anderson,2080000,2024-2025
Emmanuel Dennis,2080000,2024-2025
Tyrick Mitchell,2080000,2024-2025
Fábio Carvalho,2080000,2024-2025
Yankuba Minteh,2080000,2024-2025
Sávio,2080000,2024-2025
Ryan Fraser,2080000,2024-2025
Jamaal Lascelles,2080000,2024-2025
Matt Turner,2080000,2024-2025
Armando Broja,2080000,2024-2025
Alex McCarthy,2080000,2024-2025
Martin Dubravka,2080000,2024-2025
Willy Boly,2080000,2024-2025
Adam Smith,2080000,2024-2025
Yukinari Sugawara,2080000,2024-2025
Alex Scott,2080000,2024-2025
Harvey Elliott,2080000,2024-2025
Ashley Young,2080000,2024-2025
Ola Aina,2080000,2024-2025
Sam Johnstone,2080000,2024-2025
Carlos Vinícius,2080000,2024-2025
Cameron Archer,2080000,2024-2025
Matheus França,2080000,2024-2025
José Sá,2080000,2024-2025
Axel Tuanzebe,2080000,2024-2025
Jaden Philogene-Bidace,2080000,2024-2025
Danny Ward,2080000,2024-2025
Kamaldeen Sulemana,2080000,2024-2025
Iliman Ndiaye,2340000,2024-2025
Dara O&#39;Shea,1300000,2024-2025
Toti Gomes,1300000,2024-2025
Marcos Senesi,2600000,2024-2025
Conor Bradley,520000,2024-2025
Cesare Casadei,390000,2024-2025
Taylor Harwood-Bellis,390000,2024-2025
Michael Golding,416000,2024-2025
Yasin Ayari,416000,2024-2025
Eric da Silva Moreira,416000,2024-2025
Cameron Burgess,416000,2024-2025
John Ruddy,416000,2024-2025
Lamare Bogarde,416000,2024-2025
Bastien Meupiyou,416000,2024-2025
Yerson Mosquera,416000,2024-2025
Mark Gillespie,520000,2024-2025
Julio Enciso,520000,2024-2025
Jakub Moder,520000,2024-2025
Steven Benda,520000,2024-2025
Joe Lumley,520000,2024-2025
Anthony Elanga,1300000,2024-2025
Joe Gauci,520000,2024-2025
Stephy Mavididi,520000,2024-2025
Jack Hinshelwood,520000,2024-2025
Jack Taylor,520000,2024-2025
Mads Hermansen,520000,2024-2025
Kortney Hause,520000,2024-2025
Caoimhín Kelleher,520000,2024-2025
Rayan Aït-Nouri,520000,2024-2025
Hákon Rafn Valdimarsson,520000,2024-2025
Jakub Stolarczyk,520000,2024-2025
Tom King,520000,2024-2025
James Bree,520000,2024-2025
Harry Clarke,520000,2024-2025
Tommy Doyle,520000,2024-2025
João Virgínia,390000,2024-2025
Luke Woolfenden,390000,2024-2025
Rodrigo Muniz,390000,2024-2025
Lucas Bergström,390000,2024-2025
Erling Haaland,19500000,2024-2025
Will Dennis,104000,2024-2025
Ryan Trevitt,130000,2024-2025
Imari Samuels,156000,2024-2025
Paris Maghoma,156000,2024-2025
Zach Abbott,156000,2024-2025
Alex Murphy,156000,2024-2025
Cieran Slicker,156000,2024-2025
Killian Cahill,156000,2024-2025
Louie Moulden,260000,2024-2025
Toby Collyer,260000,2024-2025
Ed Turns,260000,2024-2025
Andy Irving,260000,2024-2025
James Hill,260000,2024-2025
Garang Kuol,260000,2024-2025
Tyler Dibling,260000,2024-2025
Ji-soo Kim,260000,2024-2025
Yegor Yarmolyuk,260000,2024-2025
Lewis Miley,260000,2024-2025
Daniel Gore,260000,2024-2025
Samuel Amo-Ameyaw,260000,2024-2025
Nathan Broadhead,312000,2024-2025
Omari Hutchinson,312000,2024-2025
Josh Wilson-Esbrand,364000,2024-2025
Vitezslav Jaros,364000,2024-2025
Matthew Cox,364000,2024-2025
Lewis Hall,364000,2024-2025
Alfie Whiteman,390000,2024-2025
Remi Matthews,390000,2024-2025
Massimo Luongo,520000,2024-2025
Ali Al-Hamadi,520000,2024-2025
Issahaku Fatawu,520000,2024-2025
Sepp van den Berg,1040000,2024-2025
Mads Roerslev Rasmussen,1040000,2024-2025
Kyle Walker-Peters,1040000,2024-2025
Daniel Iversen,1040000,2024-2025
Liam Delap,1040000,2024-2025
Daniel Bentley,1040000,2024-2025
Mark Travers,1040000,2024-2025
Ross Stewart,1040000,2024-2025
Gavin Bazunu,1040000,2024-2025
Morgan Rogers,1040000,2024-2025
Tim Iroegbunam,1040000,2024-2025
Jean-Clair Todibo,1040000,2024-2025
Jason Steele,1040000,2024-2025
Isaac Hayden,1144000,2024-2025
Jack Clarke,1300000,2024-2025
Rico Lewis,1300000,2024-2025
Leif Davis,1300000,2024-2025
Will Smallbone,1300000,2024-2025
Wilson Odobert,1300000,2024-2025
Luis Guilherme,1300000,2024-2025
Rodrigo Gomes,1300000,2024-2025
Caleb Okoli,1300000,2024-2025
Facundo Buonanotte,1300000,2024-2025
Yoane Wissa,1300000,2024-2025
Renato Veiga,1300000,2024-2025
Dwight McNeil,1300000,2024-2025
Julián Araujo,1300000,2024-2025
Chiedozie Ogbene,1300000,2024-2025
Jorge Cuenca,1300000,2024-2025
Sammie Szmodics,1300000,2024-2025
Kosta Nedeljkovic,1040000,2024-2025
Kobbie Mainoo,1040000,2024-2025
Kevin Schade,520000,2024-2025
William Osula,1040000,2024-2025
Wes Burns,520000,2024-2025
Carlos Baleba,650000,2024-2025
Simon Adingra,650000,2024-2025
Enso González,650000,2024-2025
Conor Townsend,780000,2024-2025
Conor Chaplin,780000,2024-2025
Samuel Edozie,780000,2024-2025
James McAtee,780000,2024-2025
Jayden Meghoma,780000,2024-2025
Ryan Manning,780000,2024-2025
Ronnie Edwards,780000,2024-2025
Brandon Austin,780000,2024-2025
Jørgen Strand Larsen,780000,2024-2025
Enes Ünal,780000,2024-2025
Juan Larios,780000,2024-2025
Kasey McAteer,780000,2024-2025
Wes Foderingham,780000,2024-2025
Pedro Lima,780000,2024-2025
Nathan Wood,780000,2024-2025
Curtis Jones,780000,2024-2025
Lucas Bergvall,780000,2024-2025
Yunus Emre Konak,780000,2024-2025
Luke Thomas,780000,2024-2025
Armel Bella-Kotchap,780000,2024-2025
Carlos Miguel,780000,2024-2025
Luke Cundle,780000,2024-2025
Carlos Forbs,1040000,2024-2025
Mateus Fernandes,1040000,2024-2025
Christian Walton,1040000,2024-2025
Brajan Gruda,2600000,2024-2025
Arijanet Muric,1300000,2024-2025
Alejandro Garnacho,2600000,2024-2025
Lucas Digne,6240000,2024-2025
Leny Yoro,5980000,2024-2025
James Ward-Prowse,5980000,2024-2025
Lisandro Martínez,6240000,2024-2025
Kieran Trippier,6240000,2024-2025
Dominik Szoboszlai,6240000,2024-2025
Aaron Ramsdale,6240000,2024-2025
Tosin Adarabioyo,6240000,2024-2025
Sandro Tonali,6240000,2024-2025
Alexander Isak,6240000,2024-2025
