team,season,revenue,points
Man City,2014,347,86
Man City,2015,351.8,79
Man City,2016,391.8,66
Man City,2017,473.4,78
Man City,2018,500.5,100
Man City,2019,535.2,98
Man City,2020,478.4,81
Man City,2021,569.8,86
Man City,2022,613,93
Man City,2023,718,89
Man Utd,2014,433.2,64
Man Utd,2015,395.2,70
Man Utd,2016,515.3,66
Man Utd,2017,581.2,69
Man Utd,2018,589.8,81
Man Utd,2019,627.1,66
Man Utd,2020,509,66
Man Utd,2021,494.1,74
Man Utd,2022,583.2,58
Man Utd,2023,650,75
Chelsea,2014,319.8,82
Chelsea,2015,314.3,87
Chelsea,2016,329.1,50
Chelsea,2017,361.3,93
Chelsea,2018,443.4,70
Chelsea,2019,446.7,72
Chelsea,2020,407.4,66
Chelsea,2021,434.9,67
Chelsea,2022,481.3,74
Chelsea,2023,512.5,44
Arsenal,2014,303.3,79
Arsenal,2015,335.2,75
Arsenal,2016,338.2,71
Arsenal,2017,408.1,75
Arsenal,2018,388.6,63
Arsenal,2019,367.5,70
Arsenal,2020,347.3,56
Arsenal,2021,328.4,61
Arsenal,2022,342.2,69
Arsenal,2023,464,84
Tottenham,2014,180.5,69
Tottenham,2015,196.4,64
Tottenham,2016,209.8,70
Tottenham,2017,306.3,86
Tottenham,2018,380.7,77
Tottenham,2019,460.7,71
Tottenham,2020,402.4,59
Tottenham,2021,361.9,62
Tottenham,2022,443.4,71
Tottenham,2023,549,60
Liverpool,2014,255.6,84
Liverpool,2015,297.9,62
Liverpool,2016,301.8,60
Liverpool,2017,364.5,76
Liverpool,2018,455.1,75
Liverpool,2019,533,97
Liverpool,2020,489.9,99
Liverpool,2021,487.4,69
Liverpool,2022,594.3,92
Liverpool,2023,594,67
Everton,2014,120.5,72
Everton,2015,125.6,47
Everton,2016,121.5,47
Everton,2017,171.3,61
Everton,2018,189.2,49
Everton,2019,187.7,54
Everton,2020,185.8,49
Everton,2021,193.1,59
Everton,2022,181,39
Everton,2023,172.2,36
West Ham,2014,114.9,40
West Ham,2015,120.7,62
West Ham,2016,142.1,47
West Ham,2017,183.3,45
West Ham,2018,175.4,42
West Ham,2019,190.7,52
West Ham,2020,138.6,39
West Ham,2021,192.1,65
West Ham,2022,251.8,56
West Ham,2023,235.4,40
Crystal Palace,2014,90.4,45
Crystal Palace,2015,102.4,48
Crystal Palace,2016,101.8,42
Crystal Palace,2017,142.7,41
Crystal Palace,2018,150.3,44
Crystal Palace,2019,155.4,49
Crystal Palace,2020,142.3,43
Crystal Palace,2021,134.4,44
Crystal Palace,2022,160,48
Crystal Palace,2023,179.5,45
Wolves,2019,172.5,57
Wolves,2020,132.6,59
Wolves,2021,194.1,45
Wolves,2022,165.5,51
Wolves,2023,168.6,41
Newcastle,2023,250,71
Brighton,2023,203.6,62
Aston Villa,2023,204.5,61
Brentford,2023,166.5,59
Fulham,2023,182.3,52
Bournemouth,2023,141,39
Nottingham Forest,2023,155,38
Leicester,2023,177.3,34
Leeds,2023,189.7,31
Southampton,2023,145.5,25
Leicester,2022,214.6,52
Brighton,2022,167.4,51
Newcastle,2022,180,49
Brentford,2022,140.9,46
Aston Villa,2022,163.7,45
Southampton,2022,150.6,40
Leeds,2022,189.2,38
Burnley,2022,123.4,35
Watford,2022,128.1,23
Norwich,2022,141,22
Leicester,2021,226.2,66
Leeds,2021,171,59
Aston Villa,2021,175.6,55
Newcastle,2021,140.2,45
Southampton,2021,157.1,43
Brighton,2021,139.7,41
Burnley,2021,115.1,39
Fulham,2021,116.1,28
West Brom,2021,106.9,26
Sheffield Utd,2021,115.2,23
Leicester,2020,150,62
Sheffield Utd,2020,143.1,54
Burnley,2020,133.8,54
Southampton,2020,126.5,52
Newcastle,2020,152.6,44
Brighton,2020,123.3,41
Aston Villa,2020,107.9,35
Bournemouth,2020,95.4,34
Watford,2020,120,34
Norwich,2020,119.3,21
Leicester,2019,178.4,52
Watford,2019,147.7,50
Newcastle,2019,176.4,45
Bournemouth,2019,131.1,45
Burnley,2019,137.8,40
Southampton,2019,144.6,39
Brighton,2019,143.1,36
Cardiff,2019,112.6,34
Fulham,2019,137.7,26
Huddersfield,2019,119.3,16
Burnley,2018,139,54
Leicester,2018,158.9,47
Newcastle,2018,178.5,44
Bournemouth,2018,134.9,44
Watford,2018,128.2,41
Brighton,2018,139.2,40
Huddersfield,2018,125.2,37
Southampton,2018,148.4,36
Swansea,2018,126.8,33
Stoke,2018,127.2,33
West Brom,2018,124.8,31
Southampton,2017,178.3,46
Bournemouth,2017,136.5,46
West Brom,2017,137.9,45
Leicester,2017,233,44
Stoke,2017,136,44
Swansea,2017,127.8,41
Burnley,2017,121.2,40
Watford,2017,123.9,40
Hull,2017,116.9,34
Middlesbrough,2017,121.4,28
Sunderland,2017,123.5,24
Leicester,2016,128.7,81
Southampton,2016,121.1,63
Stoke,2016,104.2,51
Swansea,2016,97.2,47
Watford,2016,94.4,45
West Brom,2016,98.3,43
Bournemouth,2016,87.9,42
Sunderland,2016,104.1,39
Newcastle,2016,125.8,37
Norwich,2016,97.8,34
Aston Villa,2016,106.8,17
Southampton,2015,110.6,60
Swansea,2015,103.9,56
Stoke,2015,99.6,54
West Brom,2015,96.3,44
Leicester,2015,104.4,41
Newcastle,2015,128.8,39
Sunderland,2015,97,38
Aston Villa,2015,112.5,38
Hull,2015,84.1,35
Burnley,2015,78.7,33
QPR,2015,85.9,30
Southampton,2014,103.4,56
Stoke,2014,98.3,50
Newcastle,2014,129.7,49
Swansea,2014,98.7,42
Sunderland,2014,101.1,38
Aston Villa,2014,110.6,38
Hull,2014,84.5,37
West Brom,2014,86.8,36
Norwich,2014,94.3,33
Fulham,2014,92.1,32
Cardiff,2014,79.9,30
