team,season,revenue,points
Man City,2014,347,86
Man Utd,2014,433.2,64
Chelsea,2014,319.8,82
Arsenal,2014,303.3,79
Tottenham,2014,180.5,69
Liverpool,2014,255.6,84
Everton,2014,120.5,72
West Ham,2014,114.9,40
Crystal Palace,2014,90.4,45
Southampton,2014,103.4,56
Stoke,2014,98.3,50
Newcastle,2014,129.7,49
Swansea,2014,98.7,42
Sunderland,2014,101.1,38
Aston Villa,2014,110.6,38
Hull,2014,84.5,37
West Brom,2014,86.8,36
Norwich,2014,94.3,33
Fulham,2014,92.1,32
Cardiff,2014,79.9,30
