Team,season,revenue,points
Man City,2015,351.8,79
Man Utd,2015,395.2,70
Chelsea,2015,314.3,87
Arsenal,2015,335.2,75
Tottenham,2015,196.4,64
Liverpool,2015,297.9,62
Everton,2015,125.6,47
West Ham,2015,120.7,62
Crystal Palace,2015,102.4,48
Southampton,2015,110.6,60
Swansea,2015,103.9,56
Stoke,2015,99.6,54
West Brom,2015,96.3,44
Leicester,2015,104.4,41
Newcastle,2015,128.8,39
Sunderland,2015,97,38
Aston Villa,2015,112.5,38
Hull,2015,84.1,35
Burnley,2015,78.7,33
QPR,2015,85.9,30
