year,,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
exports,,4.27408E+11,4.21575E+11,4.38536E+11,4.94734E+11,5.83175E+11,6.42254E+11,7.45311E+11,7.89226E+11,8.12381E+11,6.51396E+11,7.17698E+11,8.36204E+11,8.28852E+11,8.43745E+11,8.75911E+11,8.15255E+11,7.77697E+11,8.29126E+11,9.06757E+11,9.02153E+11,8.0202E+11,9.29185E+11,1.02883E+12,1.07478E+12
imports,,4.4718E+11,4.5E+11,4.80862E+11,5.38372E+11,6.38939E+11,6.96615E+11,7.96269E+11,8.49226E+11,8.64565E+11,6.81575E+11,7.56633E+11,8.57416E+11,8.55658E+11,8.83538E+11,9.35268E+11,8.59679E+11,8.28496E+11,8.65051E+11,9.46335E+11,9.41983E+11,7.8695E+11,9.33904E+11,1.11547E+12,1.11642E+12
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
year,exports,imports,difference,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2000 [YR2000],4.27408E+11,4.4718E+11,-19772180735,,,,,,,,,,,,,,,,,,,,,,
2001 [YR2001],4.21575E+11,4.5E+11,-28424683614,,,,,,,,,,,,,,,,,,,,,,
2002 [YR2002],4.38536E+11,4.80862E+11,-42325996544,,,,,,,,,,,,,,,,,,,,,,
2003 [YR2003],4.94734E+11,5.38372E+11,-43637844626,,,,,,,,,,,,,,,,,,,,,,
2004 [YR2004],5.83175E+11,6.38939E+11,-55764002611,,,,,,,,,,,,,,,,,,,,,,
2005 [YR2005],6.42254E+11,6.96615E+11,-54361679069,,,,,,,,,,,,,,,,,,,,,,
2006 [YR2006],7.45311E+11,7.96269E+11,-50957936991,,,,,,,,,,,,,,,,,,,,,,
2007 [YR2007],7.89226E+11,8.49226E+11,-59999761250,,,,,,,,,,,,,,,,,,,,,,
2008 [YR2008],8.12381E+11,8.64565E+11,-52184375243,,,,,,,,,,,,,,,,,,,,,,
2009 [YR2009],6.51396E+11,6.81575E+11,-30179304572,,,,,,,,,,,,,,,,,,,,,,
2010 [YR2010],7.17698E+11,7.56633E+11,-38934535219,,,,,,,,,,,,,,,,,,,,,,
2011 [YR2011],8.36204E+11,8.57416E+11,-21211673603,,,,,,,,,,,,,,,,,,,,,,
2012 [YR2012],8.28852E+11,8.55658E+11,-26805596416,,,,,,,,,,,,,,,,,,,,,,
2013 [YR2013],8.43745E+11,8.83538E+11,-39792666336,,,,,,,,,,,,,,,,,,,,,,
2014 [YR2014],8.75911E+11,9.35268E+11,-59357376064,,,,,,,,,,,,,,,,,,,,,,
2015 [YR2015],8.15255E+11,8.59679E+11,-44424260097,,,,,,,,,,,,,,,,,,,,,,
2016 [YR2016],7.77697E+11,8.28496E+11,-50798842587,,,,,,,,,,,,,,,,,,,,,,
2017 [YR2017],8.29126E+11,8.65051E+11,-35924431559,,,,,,,,,,,,,,,,,,,,,,
2018 [YR2018],9.06757E+11,9.46335E+11,-39577861195,,,,,,,,,,,,,,,,,,,,,,
2019 [YR2019],9.02153E+11,9.41983E+11,-39829637744,,,,,,,,,,,,,,,,,,,,,,
2020 [YR2020],8.0202E+11,7.8695E+11,15069874927,,,,,,,,,,,,,,,,,,,,,,
2021 [YR2021],9.29185E+11,9.33904E+11,-4719358455,,,,,,,,,,,,,,,,,,,,,,
2022 [YR2022],1.02883E+12,1.11547E+12,-86640536694,,,,,,,,,,,,,,,,,,,,,,
2023 [YR2023],1.07478E+12,1.11642E+12,-41639090205,,,,,,,,,,,,,,,,,,,,,,
