Year,Goods exports,Goods imports,Service exports,Service imports
1974,38105188027,50347012950,15440624978,13189958766
1975,42474645188,49747144035,16965420710,14063443275
1976,45033449467,52103384214,17933767847,13604538994
1977,55318972589,59323424551,20281632180,14624432050
1978,67121225448,70184832159,23998663230,16872222016
1979,86017951175,92990917347,30737103823,22433430523
1980,1.0962E+11,1.06267E+11,36451798356,27932791346
1981,1.02158E+11,95198256335,34009692184,26305792415
1982,96659535129,93492301474,30860640693,25553305447
1983,91962968443,94339908423,29069860715,23269713518
1984,93486501108,1.00601E+11,28429354849,22828432635
1985,1.00862E+11,1.04817E+11,31306057100,22956588432
1986,1.06429E+11,1.20488E+11,37070801448,27972076398
1987,1.30467E+11,1.49676E+11,44256903669,33140709632
1988,1.43725E+11,1.82017E+11,47674196561,39731931506
1989,1.5144E+11,1.92056E+11,47383388242,41395146523
1990,1.82804E+11,2.15353E+11,56421927973,48736688987
1991,1.83506E+11,2.01674E+11,56277459670,48999535808
1992,1.89366E+11,2.12698E+11,64227090368,54523019838
1993,1.83313E+11,2.02961E+11,62377056551,52306552792
1994,2.07188E+11,2.24135E+11,69925271914,59958833104
1995,2.42318E+11,2.61324E+11,79796038341,65676593106
1996,2.61247E+11,2.82475E+11,90583641669,73017971833
1997,2.81537E+11,3.01739E+11,1.01642E+11,78541498195
1998,2.71723E+11,3.07851E+11,1.12596E+11,88298834704
1999,2.69169E+11,3.23208E+11,1.41103E+11,1.04254E+11
2000,2.82734E+11,3.42875E+11,1.44674E+11,1.04305E+11
2001,2.74566E+11,3.44543E+11,1.47009E+11,1.05456E+11
2002,2.81214E+11,3.6329E+11,1.57322E+11,1.17572E+11
2003,3.07085E+11,4.00783E+11,1.87649E+11,1.37588E+11
2004,3.49993E+11,4.73316E+11,2.33182E+11,1.65623E+11
2005,3.85924E+11,5.20615E+11,2.5633E+11,1.76001E+11
2006,4.52714E+11,6.04264E+11,2.92597E+11,1.92004E+11
2007,4.4623E+11,6.33587E+11,3.42996E+11,2.15639E+11
2008,4.69286E+11,6.47924E+11,3.43095E+11,2.16641E+11
2009,3.56841E+11,4.96174E+11,2.94555E+11,1.85401E+11
2010,4.11132E+11,5.6505E+11,3.06566E+11,1.91583E+11
2011,4.84745E+11,6.51547E+11,3.51459E+11,2.05869E+11
2012,4.71389E+11,6.49287E+11,3.57463E+11,2.06371E+11
2013,4.68763E+11,6.64458E+11,3.74982E+11,2.1908E+11
2014,4.75943E+11,6.91363E+11,3.99968E+11,2.43905E+11
2015,4.29135E+11,6.20553E+11,3.8612E+11,2.39125E+11
2016,4.04569E+11,5.92758E+11,3.73128E+11,2.35739E+11
2017,4.37922E+11,6.18023E+11,3.91204E+11,2.47028E+11
2018,4.72456E+11,6.60958E+11,4.34301E+11,2.85377E+11
2019,4.70247E+11,6.55676E+11,4.31906E+11,2.86307E+11
2020,4.03464E+11,5.68342E+11,3.98556E+11,2.18608E+11
2021,4.55306E+11,6.79918E+11,4.73879E+11,2.53986E+11
2022,5.22245E+11,7.93853E+11,5.06585E+11,3.21618E+11
2023,4.90567E+11,7.22479E+11,5.84214E+11,3.93941E+11
