month,price,area
1995-02,6.33,London
1995-03,7.20,London
1995-04,7.38,London
1995-05,7.33,London
1995-06,6.88,London
1995-07,6.88,London
1995-08,6.90,London
1995-09,6.68,London
1995-10,6.76,London
1995-11,6.93,London
1995-12,6.97,London
1996-01,7.13,London
1996-02,7.03,London
1996-03,6.93,London
1996-04,6.93,London
1996-05,6.89,London
1996-06,7.21,London
1996-07,7.33,London
1996-08,7.47,London
1996-09,7.57,London
1996-10,7.54,London
1996-11,7.57,London
1996-12,7.08,London
1997-01,7.91,London
1997-02,7.12,London
1997-03,7.12,London
1997-04,7.19,London
1997-05,7.19,London
1997-06,7.19,London
1997-07,7.77,London
1997-08,7.77,London
1997-09,8.00,London
1997-10,8.27,London
1997-11,8.17,London
1997-12,8.17,London
1998-01,7.96,London
1998-02,8.14,London
1998-03,8.14,London
1998-04,8.14,London
1998-05,8.55,London
1998-06,8.94,London
1998-07,8.94,London
1998-08,9.50,London
1998-09,9.50,London
1998-10,8.81,London
1998-11,8.94,London
1998-12,9.56,London
1999-01,10.25,London
1999-02,9.40,London
1999-03,9.33,London
1999-04,10.10,London
1999-05,10.11,London
1999-06,10.10,London
1999-07,10.22,London
1999-08,9.78,London
1999-09,9.20,London
1999-10,9.20,London
1999-11,9.35,London
1999-12,9.72,London
2000-01,9.20,London
2000-02,9.54,London
2000-03,9.54,London
2000-04,9.85,London
2000-05,9.64,London
2000-06,10.00,London
2000-07,10.45,London
2000-08,9.55,London
2000-09,9.71,London
2000-10,10.43,London
2000-11,10.46,London
2000-12,10.85,London
2001-01,11.11,London
2001-02,9.54,London
2001-03,9.62,London
2001-04,9.36,London
2001-05,9.67,London
2001-06,9.14,London
2001-07,9.14,London
2001-08,9.33,London
2001-09,9.47,London
2001-10,9.62,London
2001-11,9.62,London
2001-12,9.64,London
2002-01,9.21,London
2002-02,9.39,London
2002-03,8.65,London
2002-04,8.81,London
2002-05,8.81,London
2002-06,8.81,London
2002-07,8.81,London
2002-08,8.81,London
2002-09,8.81,London
2002-10,8.81,London
2002-11,8.81,London
2002-12,8.88,London
2003-01,9.53,London
2003-02,9.38,London
2003-03,9.56,London
2003-04,9.71,London
2003-05,9.71,London
2003-06,9.06,London
2003-07,9.71,London
2003-08,9.65,London
2003-09,9.65,London
2003-10,9.65,London
2003-11,9.65,London
2003-12,10.28,London
2004-01,10.20,London
2004-02,10.60,London
2004-03,10.56,London
