League,Season,Wage
Premier League,2025,4227102
Premier League,2024,3801781
Premier League,2023,4228538
Premier League,2022,3893490
Premier League,2021,3515189
Premier League,2020,3376888
Premier League,2019,2519267
Premier League,2018,2438368
Premier League,2017,2025634
Premier League,2016,1789587
Premier League,2015,1803584
Premier League,2014,1527722
Bundesliga,2025,1932205
Bundesliga,2024,1869120
Bundesliga,2023,1857898
Bundesliga,2022,1638260
Bundesliga,2021,1737065
Bundesliga,2020,1660551
Bundesliga,2019,1383539
Bundesliga,2018,1327090
Bundesliga,2017,1132081
Bundesliga,2016,962458
Bundesliga,2015,1003920
Bundesliga,2014,1000386
La Liga,2025,2293333
La Liga,2024,2275396
La Liga,2023,2408011
La Liga,2022,2497640
La Liga,2021,2609092
La Liga,2020,2668266
La Liga,2019,1808581
La Liga,2018,1586959
La Liga,2017,1376047
La Liga,2016,1151016
La Liga,2015,1006945
La Liga,2014,868411
Ligue 1,2025,1394661
Ligue 1,2024,1440709
Ligue 1,2023,1379936
Ligue 1,2022,1342821
Ligue 1,2021,1166829
Ligue 1,2020,1252890
Ligue 1,2019,931804
Ligue 1,2018,903031
Ligue 1,2017,623436
Ligue 1,2016,565570
Ligue 1,2015,504849
Ligue 1,2014,555879
Serie A,2025,1788435
Serie A,2024,1685011
Serie A,2023,1730097
Serie A,2022,1847697
Serie A,2021,1944021
Serie A,2020,1990228
Serie A,2019,1072786
Serie A,2018,1052729
Serie A,2017,867770
Serie A,2016,791043
Serie A,2015,742134
Serie A,2014,643817
