name,annual_gross_gbp,season
Kevin De Bruyne,20800000,2024-25
Erling Haaland,19500000,2024-25
Mohamed Salah,18200000,2024-25
Casemiro,18200000,2024-25
Marcus Rashford,15600000,2024-25
Bernardo Silva,15600000,2024-25
Jack Grealish,15600000,2024-25
Bruno Fernandes,15600000,2024-25
Kai Havertz,14560000,2024-25
Gabriel Jesus,13780000,2024-25
Reece James,13000000,2024-25
Mason Mount,13000000,2024-25
John Stones,13000000,2024-25
Martin Ødegaard,12480000,2024-25
Declan Rice,12480000,2024-25
İlkay Gündoğan,11960000,2024-25
Phil Foden,11700000,2024-25
Rodri,11440000,2024-25
Virgil van Dijk,11440000,2024-25
Antony,10400000,2024-25
Josko Gvardiol,10400000,2024-25
Thomas Partey,10400000,2024-25
Ben Chilwell,10400000,2024-25
Wesley Fofana,10400000,2024-25
Bukayo Saka,10140000,2024-25
Christopher Nkunku,10140000,2024-25
Matthijs de Ligt,10140000,2024-25
Heung-min Son,9880000,2024-25
Harry Maguire,9880000,2024-25
William Saliba,9880000,2024-25
Enzo Fernández,9360000,2024-25
Gabriel Martinelli,9360000,2024-25
Rúben Dias,9360000,2024-25
Manuel Akanji,9360000,2024-25
Trent Alexander-Arnold,9360000,2024-25
Kyle Walker,9100000,2024-25
Marc Cucurella,9100000,2024-25
James Maddison,8840000,2024-25
João Félix,8840000,2024-25
Timo Werner,8580000,2024-25
Cristian Romero,8580000,2024-25
Raheem Sterling,8450000,2024-25
Raheem Sterling,8450000,2024-25
Pedro Neto,8320000,2024-25
Andrew Robertson,8320000,2024-25
Nathan Aké,8320000,2024-25
Bruno Guimarães,8320000,2024-25
Christian Eriksen,7800000,2024-25
Emiliano Martínez,7800000,2024-25
Federico Chiesa,7800000,2024-25
Jadon Sancho,7800000,2024-25
Joelinton,7800000,2024-25
Boubacar Kamara,7800000,2024-25
Ben White,7800000,2024-25
Lloyd Kelly,7800000,2024-25
Lucas Paquetá,7800000,2024-25
Luke Shaw,7800000,2024-25
Mateo Kovacic,7800000,2024-25
Anthony Gordon,7800000,2024-25
Moisés Caicedo,7800000,2024-25
Oleksandr Zinchenko,7800000,2024-25
Alisson,7800000,2024-25
Ryan Gravenberch,7800000,2024-25
Alexis Mac Allister,7800000,2024-25
Youri Tielemans,7800000,2024-25
Jarrod Bowen,7800000,2024-25
Kalvin Phillips,7800000,2024-25
Darwin Núñez,7280000,2024-25
Diogo Jota,7280000,2024-25
Amadou Onana,7280000,2024-25
Jamie Vardy,7280000,2024-25
Noussair Mazraoui,7020000,2024-25
Matheus Nunes,6760000,2024-25
Ollie Watkins,6760000,2024-25
Abdoulaye Doucouré,6760000,2024-25
Mikel Merino,6760000,2024-25
Cole Palmer,6760000,2024-25
Bernd Leno,6760000,2024-25
Danny Ings,6500000,2024-25
Jordan Pickford,6500000,2024-25
Lucas Digne,6240000,2024-25
Lisandro Martínez,6240000,2024-25
Kieran Trippier,6240000,2024-25
Dominik Szoboszlai,6240000,2024-25
Aaron Ramsdale,6240000,2024-25
Tosin Adarabioyo,6240000,2024-25
Sandro Tonali,6240000,2024-25
Alexander Isak,6240000,2024-25
Riccardo Calafiori,6240000,2024-25
Alphonse Areola,6240000,2024-25
André Onana,6240000,2024-25
Manuel Ugarte,6240000,2024-25
John McGinn,6240000,2024-25
Leon Bailey,6240000,2024-25
Victor Lindelöf,6240000,2024-25
Cody Gakpo,6240000,2024-25
Leny Yoro,5980000,2024-25
James Ward-Prowse,5980000,2024-25
Jorginho,5720000,2024-25
Dejan Kulusevski,5720000,2024-25
Kieran Tierney,5720000,2024-25
Joshua Zirkzee,5460000,2024-25
Nikola Milenković,5460000,2024-25
Daichi Kamada,5460000,2024-25
Diego Carlos,5200000,2024-25
Max Kilman,5200000,2024-25
Dean Henderson,5200000,2024-25
David Raya,5200000,2024-25
Gabriel Magalhães,5200000,2024-25
Levi Colwill,5200000,2024-25
Ian Maatsen,5200000,2024-25
Nicolas Jackson,5200000,2024-25
Reiss Nelson,5200000,2024-25
Raúl Jiménez,5200000,2024-25
Tyrone Mings,5200000,2024-25
Jadon Sancho,5200000,2024-25
Edson Álvarez,5200000,2024-25
Ederson,5200000,2024-25
Mykhailo Mudryk,5200000,2024-25
Eberechi Eze,5200000,2024-25
James Tarkowski,5200000,2024-25
Matt Targett,5200000,2024-25
Takehiro Tomiyasu,5200000,2024-25
Dominic Calvert-Lewin,5200000,2024-25
Pau Torres,5200000,2024-25
Carney Chukwuemeka,5200000,2024-25
Emerson,4940000,2024-25
Niclas Füllkrug,4680000,2024-25
Richarlison,4680000,2024-25
Sven Botman,4680000,2024-25
Jurrien Timber,4680000,2024-25
Joachim Andersen,4680000,2024-25
Odsonne Edouard,4680000,2024-25
Pablo Sarabia,4680000,2024-25
Mohammed Kudus,4680000,2024-25
Gonçalo Guedes,4680000,2024-25
Tomas Soucek,4680000,2024-25
Aaron Wan-Bissaka,4680000,2024-25
Jack Harrison,4680000,2024-25
Eddie Nketiah,4680000,2024-25
Dominic Solanke,4680000,2024-25
Harry Winks,4680000,2024-25
Leandro Trossard,4680000,2024-25
Benoît Badiashile,4680000,2024-25
Stefan Ortega Moreno,4680000,2024-25
Ferdi Kadıoğlu,4550000,2024-25
Rasmus Højlund,4420000,2024-25
Joe Gomez,4420000,2024-25
Radu Drăgușin,4420000,2024-25
Michail Antonio,4420000,2024-25
Evanilson,4420000,2024-25
Diogo Dalot,4420000,2024-25
Pedro Porro,4420000,2024-25
Ricardo Pereira,4160000,2024-25
Justin Kluivert,4160000,2024-25
Boubakary Soumaré,4160000,2024-25
Kaoru Mitoma,4160000,2024-25
Kiernan Dewsbury-Hall,4160000,2024-25
Lewis Dunk,4160000,2024-25
Ben Davies,4160000,2024-25
Michael Keane,4160000,2024-25
Morgan Gibbs-White,4160000,2024-25
Axel Disasi,4160000,2024-25
Idrissa Gueye,4160000,2024-25
Matty Cash,4160000,2024-25
Joe Willock,4160000,2024-25
Chris Wood,4160000,2024-25
Callum Hudson-Odoi,4160000,2024-25
Alex Iwobi,4160000,2024-25
Carlos Soler,4160000,2024-25
Harvey Barnes,4160000,2024-25
Nélson Semedo,4160000,2024-25
Rodrigo Bentancur,3900000,2024-25
Kepa Arrizabalaga,3900000,2024-25
Georginio Rutter,3900000,2024-25
Ezri Konsa,3900000,2024-25
Wilfred Ndidi,3900000,2024-25
Patson Daka,3900000,2024-25
Tyrell Malacia,3900000,2024-25
Konstantinos Tsimikas,3900000,2024-25
Fraser Forster,3900000,2024-25
Guido Rodríguez,3900000,2024-25
Conor Coady,3900000,2024-25
Archie Gray,3900000,2024-25
Guglielmo Vicario,3900000,2024-25
Destiny Udogie,3900000,2024-25
Kepa Arrizabalaga,3900000,2024-25
Jhon Durán,3900000,2024-25
Ibrahim Sangaré,3900000,2024-25
Emiliano Buendía,3900000,2024-25
Ryan Christie,3640000,2024-25
Pape Sarr,3640000,2024-25
Brennan Johnson,3640000,2024-25
Joe Aribo,3640000,2024-25
Jefferson Lerma,3640000,2024-25
Jan Bednarek,3640000,2024-25
Ibrahima Konaté,3640000,2024-25
Hee-chan Hwang,3640000,2024-25
Cheick Doucouré,3640000,2024-25
Aaron Hickey,3640000,2024-25
Ismaïla Sarr,3640000,2024-25
Issa Diop,3640000,2024-25
Jacob Ramsey,3640000,2024-25
Timothy Castagne,3380000,2024-25
Lukasz Fabianski,3380000,2024-25
Adama Traoré,3380000,2024-25
Jonny Evans,3380000,2024-25
Maxwel Cornet,3380000,2024-25
Luis Sinisterra,3380000,2024-25
Saša Lukić,3276000,2024-25
Mats Wieffer,3120000,2024-25
Lewis Cook,3120000,2024-25
Adam Armstrong,3120000,2024-25
Danny Welbeck,3120000,2024-25
Robert Sánchez,3120000,2024-25
Tyler Adams,3120000,2024-25
Miguel Almirón,3120000,2024-25
Matheus Cunha,3120000,2024-25
Jeffrey Schlupp,3120000,2024-25
Jannik Vestergaard,3120000,2024-25
James Milner,3120000,2024-25
Emile Smith Rowe,3120000,2024-25
Nick Pope,3120000,2024-25
Vitaliy Mykolenko,3016000,2024-25
Jakub Kiwior,3016000,2024-25
Yves Bissouma,2860000,2024-25
Emil Krafth,2860000,2024-25
Boubacar Traoré,2860000,2024-25
Luis Díaz,2860000,2024-25
Ben Mee,2860000,2024-25
Sander Berge,2860000,2024-25
Séamus Coleman,2860000,2024-25
Adam Webster,2860000,2024-25
Dan Burn,2860000,2024-25
Chris Richards,2860000,2024-25
Sergio Reguilón,2756000,2024-25
Wout Faes,2600000,2024-25
Neto,2600000,2024-25
Wataru Endo,2600000,2024-25
Neco Williams,2600000,2024-25
Ilya Zabarnyi,2600000,2024-25
Beto,2600000,2024-25
Harrison Reed,2600000,2024-25
Ryan Yates,2600000,2024-25
Djed Spence,2600000,2024-25
Solly March,2600000,2024-25
Maxence Lacroix,2600000,2024-25
Filip Jørgensen,2600000,2024-25
Will Hughes,2600000,2024-25
Tino Livramento,2600000,2024-25
Marc Guéhi,2600000,2024-25
Marc Guiu,2600000,2024-25
Marcos Senesi,2600000,2024-25
Brajan Gruda,2600000,2024-25
Alejandro Garnacho,2600000,2024-25
Pervis Estupiñán,2600000,2024-25
Konstantinos Mavropanos,2600000,2024-25
Orel Mangala,2600000,2024-25
Igor Thiago,2600000,2024-25
Antoine Semenyo,2600000,2024-25
Oliver Skipp,2600000,2024-25
Aaron Cresswell,2600000,2024-25
Antonee Robinson,2600000,2024-25
Robin Olsen,2600000,2024-25
Andreas Pereira,2600000,2024-25
Matt Doherty,2600000,2024-25
Odysseas Vlachodimos,2600000,2024-25
Sean Longstaff,2600000,2024-25
Joël Veltman,2600000,2024-25
Trevoh Chalobah,2600000,2024-25
Nathaniel Clyne,2600000,2024-25
Kenny Tete,2600000,2024-25
Mathias Jensen,2600000,2024-25
João Pedro,2600000,2024-25
David Brooks,2600000,2024-25
Taiwo Awoniyi,2600000,2024-25
Hamza Choudhury,2600000,2024-25
Jesper Lindstrøm,2600000,2024-25
Jérémy Doku,2600000,2024-25
Noni Madueke,2600000,2024-25
Oscar Bobb,2600000,2024-25
Matt O&#39;Riley,2600000,2024-25
Micky van de Ven,2600000,2024-25
Jean-Philippe Mateta,2600000,2024-25
Callum Wilson,2392000,2024-25
Lesley Ugochukwu,2340000,2024-25
Fabian Schär,2340000,2024-25
Rob Holding,2340000,2024-25
Bryan Mbeumo,2340000,2024-25
Roméo Lavia,2340000,2024-25
Craig Dawson,2340000,2024-25
Tom Heaton,2340000,2024-25
Ryan Sessegnon,2340000,2024-25
Daniel Muñoz,2340000,2024-25
Calvin Bassey,2340000,2024-25
Jack Stephens,2340000,2024-25
Igor,2340000,2024-25
Adam Lallana,2340000,2024-25
Philip Billing,2340000,2024-25
