Team,season,revenue,points
Man City,2020,478.4,81
Man Utd,2020,509,66
Chelsea,2020,407.4,66
Arsenal,2020,347.3,56
Tottenham,2020,402.4,59
Liverpool,2020,489.9,99
Everton,2020,185.8,49
West Ham,2020,138.6,39
Crystal Palace,2020,142.3,43
Wolves,2020,132.6,59
Leicester,2020,150,62
Sheffield Utd,2020,143.1,54
Burnley,2020,133.8,54
Southampton,2020,126.5,52
Newcastle,2020,152.6,44
Brighton,2020,123.3,41
Aston Villa,2020,107.9,35
Bournemouth,2020,95.4,34
Watford,2020,120,34
Norwich,2020,119.3,21
