Year,Category,value
1974,Goods exports,38105188027
1975,Goods exports,42474645188
1976,Goods exports,45033449467
1977,Goods exports,55318972589
1978,Goods exports,67121225448
1979,Goods exports,86017951175
1980,Goods exports,1.0962E+11
1981,Goods exports,1.02158E+11
1982,Goods exports,96659535129
1983,Goods exports,91962968443
1984,Goods exports,93486501108
1985,Goods exports,1.00862E+11
1986,Goods exports,1.06429E+11
1987,Goods exports,1.30467E+11
1988,Goods exports,1.43725E+11
1989,Goods exports,1.5144E+11
1990,Goods exports,1.82804E+11
1991,Goods exports,1.83506E+11
1992,Goods exports,1.89366E+11
1993,Goods exports,1.83313E+11
1994,Goods exports,2.07188E+11
1995,Goods exports,2.42318E+11
1996,Goods exports,2.61247E+11
1997,Goods exports,2.81537E+11
1998,Goods exports,2.71723E+11
1999,Goods exports,2.69169E+11
2000,Goods exports,2.82734E+11
2001,Goods exports,2.74566E+11
2002,Goods exports,2.81214E+11
2003,Goods exports,3.07085E+11
2004,Goods exports,3.49993E+11
2005,Goods exports,3.85924E+11
2006,Goods exports,4.52714E+11
2007,Goods exports,4.4623E+11
2008,Goods exports,4.69286E+11
2009,Goods exports,3.56841E+11
2010,Goods exports,4.11132E+11
2011,Goods exports,4.84745E+11
2012,Goods exports,4.71389E+11
2013,Goods exports,4.68763E+11
2014,Goods exports,4.75943E+11
2015,Goods exports,4.29135E+11
2016,Goods exports,4.04569E+11
2017,Goods exports,4.37922E+11
2018,Goods exports,4.72456E+11
2019,Goods exports,4.70247E+11
2020,Goods exports,4.03464E+11
2021,Goods exports,4.55306E+11
2022,Goods exports,5.22245E+11
2023,Goods exports,4.90567E+11
1974,Goods imports,50347012950
1975,Goods imports,49747144035
1976,Goods imports,52103384214
1977,Goods imports,59323424551
1978,Goods imports,70184832159
1979,Goods imports,92990917347
1980,Goods imports,1.06267E+11
1981,Goods imports,95198256335
1982,Goods imports,93492301474
1983,Goods imports,94339908423
1984,Goods imports,1.00601E+11
1985,Goods imports,1.04817E+11
1986,Goods imports,1.20488E+11
1987,Goods imports,1.49676E+11
1988,Goods imports,1.82017E+11
1989,Goods imports,1.92056E+11
1990,Goods imports,2.15353E+11
1991,Goods imports,2.01674E+11
1992,Goods imports,2.12698E+11
1993,Goods imports,2.02961E+11
1994,Goods imports,2.24135E+11
1995,Goods imports,2.61324E+11
1996,Goods imports,2.82475E+11
1997,Goods imports,3.01739E+11
1998,Goods imports,3.07851E+11
1999,Goods imports,3.23208E+11
2000,Goods imports,3.42875E+11
2001,Goods imports,3.44543E+11
2002,Goods imports,3.6329E+11
2003,Goods imports,4.00783E+11
2004,Goods imports,4.73316E+11
2005,Goods imports,5.20615E+11
2006,Goods imports,6.04264E+11
2007,Goods imports,6.33587E+11
2008,Goods imports,6.47924E+11
2009,Goods imports,4.96174E+11
2010,Goods imports,5.6505E+11
2011,Goods imports,6.51547E+11
2012,Goods imports,6.49287E+11
2013,Goods imports,6.64458E+11
2014,Goods imports,6.91363E+11
2015,Goods imports,6.20553E+11
2016,Goods imports,5.92758E+11
2017,Goods imports,6.18023E+11
2018,Goods imports,6.60958E+11
2019,Goods imports,6.55676E+11
2020,Goods imports,5.68342E+11
2021,Goods imports,6.79918E+11
2022,Goods imports,7.93853E+11
2023,Goods imports,7.22479E+11
1974,Service exports,15440624978
1975,Service exports,16965420710
1976,Service exports,17933767847
1977,Service exports,20281632180
1978,Service exports,23998663230
1979,Service exports,30737103823
1980,Service exports,36451798356
1981,Service exports,34009692184
1982,Service exports,30860640693
1983,Service exports,29069860715
1984,Service exports,28429354849
1985,Service exports,31306057100
1986,Service exports,37070801448
1987,Service exports,44256903669
1988,Service exports,47674196561
1989,Service exports,47383388242
1990,Service exports,56421927973
1991,Service exports,56277459670
1992,Service exports,64227090368
1993,Service exports,62377056551
1994,Service exports,69925271914
1995,Service exports,79796038341
1996,Service exports,90583641669
1997,Service exports,1.01642E+11
1998,Service exports,1.12596E+11
1999,Service exports,1.41103E+11
2000,Service exports,1.44674E+11
2001,Service exports,1.47009E+11
2002,Service exports,1.57322E+11
2003,Service exports,1.87649E+11
2004,Service exports,2.33182E+11
2005,Service exports,2.5633E+11
2006,Service exports,2.92597E+11
2007,Service exports,3.42996E+11
2008,Service exports,3.43095E+11
2009,Service exports,2.94555E+11
2010,Service exports,3.06566E+11
2011,Service exports,3.51459E+11
2012,Service exports,3.57463E+11
2013,Service exports,3.74982E+11
2014,Service exports,3.99968E+11
2015,Service exports,3.8612E+11
2016,Service exports,3.73128E+11
2017,Service exports,3.91204E+11
2018,Service exports,4.34301E+11
2019,Service exports,4.31906E+11
2020,Service exports,3.98556E+11
2021,Service exports,4.73879E+11
2022,Service exports,5.06585E+11
2023,Service exports,5.84214E+11
1974,Service imports,13189958766
1975,Service imports,14063443275
1976,Service imports,13604538994
1977,Service imports,14624432050
1978,Service imports,16872222016
1979,Service imports,22433430523
1980,Service imports,27932791346
1981,Service imports,26305792415
1982,Service imports,25553305447
1983,Service imports,23269713518
1984,Service imports,22828432635
1985,Service imports,22956588432
1986,Service imports,27972076398
1987,Service imports,33140709632
1988,Service imports,39731931506
1989,Service imports,41395146523
1990,Service imports,48736688987
1991,Service imports,48999535808
1992,Service imports,54523019838
1993,Service imports,52306552792
1994,Service imports,59958833104
1995,Service imports,65676593106
1996,Service imports,73017971833
1997,Service imports,78541498195
1998,Service imports,88298834704
1999,Service imports,1.04254E+11
2000,Service imports,1.04305E+11
2001,Service imports,1.05456E+11
2002,Service imports,1.17572E+11
2003,Service imports,1.37588E+11
2004,Service imports,1.65623E+11
2005,Service imports,1.76001E+11
2006,Service imports,1.92004E+11
2007,Service imports,2.15639E+11
2008,Service imports,2.16641E+11
2009,Service imports,1.85401E+11
2010,Service imports,1.91583E+11
2011,Service imports,2.05869E+11
2012,Service imports,2.06371E+11
2013,Service imports,2.1908E+11
2014,Service imports,2.43905E+11
2015,Service imports,2.39125E+11
2016,Service imports,2.35739E+11
2017,Service imports,2.47028E+11
2018,Service imports,2.85377E+11
2019,Service imports,2.86307E+11
2020,Service imports,2.18608E+11
2021,Service imports,2.53986E+11
2022,Service imports,3.21618E+11
2023,Service imports,3.93941E+11
