year,price,area
1995,6.93,London
1996,7.19,London
1997,7.64,London
1998,8.7,London
1999,9.72,London
2000,9.95,London
2001,9.56,London
2002,8.89,London
2003,9.63,London
2004,10.93,London
2005,9.99,London
2006,9.41,London
2007,9.16,London
2008,9.01,London
2009,8.43,London
2010,8.35,London
2011,7.47,London
2012,7.96,London
2013,8.34,London
2014,8.29,London
2015,8.38,London
2016,8.38,London
1995,5.17,South East
1996,5.18,South East
1997,5.47,South East
1998,5.96,South East
1999,5.45,South East
2000,5.92,South East
2001,6.35,South East
2002,6.5,South East
2003,6.44,South East
2004,6.78,South East
2005,7,South East
2006,6.99,South East
2007,7.03,South East
2008,6.89,South East
2009,7.09,South East
2010,6.94,South East
2011,6.79,South East
2012,5.56,South East
2013,5.98,South East
2014,6.57,South East
2015,6.31,South East
2016,6.08,South East
1995,4.72,South West
1996,4.61,South West
1997,4.7,South West
1998,4.41,South West
1999,4.58,South West
2000,5.23,South West
2001,4.78,South West
2002,4.43,South West
2003,5.81,South West
2004,5.11,South West
2005,5.48,South West
2006,6.66,South West
2007,6.15,South West
2008,5.83,South West
2009,6.04,South West
2010,5.85,South West
2011,6.01,South West
2012,6.21,South West
2013,6.32,South West
2014,5.89,South West
2015,5.62,South West
2016,5.75,South West
1995,4.64,East Anglia
1996,4.56,East Anglia
1997,5.05,East Anglia
1998,5.19,East Anglia
1999,6,East Anglia
2000,5.64,East Anglia
2001,6.1,East Anglia
2002,5.8,East Anglia
2003,6.61,East Anglia
2004,7.27,East Anglia
2005,7.55,East Anglia
2006,8.02,East Anglia
2007,7.84,East Anglia
2008,7.93,East Anglia
2009,7.82,East Anglia
2010,7.01,East Anglia
2011,7.27,East Anglia
2012,7.16,East Anglia
2013,5.79,East Anglia
2014,5.72,East Anglia
2015,6.13,East Anglia
2016,6.62,East Anglia
1995,4.12,East Midlands
1996,4.1,East Midlands
1997,4.25,East Midlands
1998,3.89,East Midlands
1999,4.17,East Midlands
2000,4.39,East Midlands
2001,4.84,East Midlands
2002,5.27,East Midlands
2003,5.4,East Midlands
2004,5.35,East Midlands
2005,5.6,East Midlands
2006,6.68,East Midlands
2007,6.22,East Midlands
2008,5.81,East Midlands
2009,6.16,East Midlands
2010,5.25,East Midlands
2011,4.19,East Midlands
2012,6.26,East Midlands
2013,6.67,East Midlands
2014,5.72,East Midlands
2015,5.28,East Midlands
2016,6,East Midlands
1995,4.86,West Midlands
1996,5.6,West Midlands
1997,5.19,West Midlands
1998,4.62,West Midlands
1999,4.78,West Midlands
2000,5.04,West Midlands
2001,5.41,West Midlands
2002,5.41,West Midlands
2003,5.98,West Midlands
2004,6.16,West Midlands
2005,6.12,West Midlands
2006,5.88,West Midlands
2007,6,West Midlands
2008,5.64,West Midlands
2009,5.94,West Midlands
2010,6.56,West Midlands
2011,6.65,West Midlands
2012,6.48,West Midlands
2013,6.15,West Midlands
2014,6.44,West Midlands
2015,5.59,West Midlands
2016,5.5,West Midlands
1995,4.55,Yorkshire & Humber
1996,4.41,Yorkshire & Humber
1997,4.33,Yorkshire & Humber
1998,4.58,Yorkshire & Humber
1999,4.85,Yorkshire & Humber
2000,5.77,Yorkshire & Humber
2001,5.25,Yorkshire & Humber
2002,5.37,Yorkshire & Humber
2003,5.68,Yorkshire & Humber
2004,6.17,Yorkshire & Humber
2005,6.06,Yorkshire & Humber
2006,5.8,Yorkshire & Humber
2007,5.81,Yorkshire & Humber
2008,5.6,Yorkshire & Humber
2009,4.84,Yorkshire & Humber
2010,4.18,Yorkshire & Humber
2011,4.07,Yorkshire & Humber
2012,4.16,Yorkshire & Humber
2013,4.05,Yorkshire & Humber
2014,5.23,Yorkshire & Humber
2015,5.57,Yorkshire & Humber
2016,5.86,Yorkshire & Humber
1995,5.31,North West
1996,4.8,North West
1997,6.29,North West
1998,6.86,North West
1999,5.41,North West
2000,4.94,North West
2001,5.26,North West
2002,5.63,North West
2003,5.47,North West
2004,5,North West
2005,5.09,North West
2006,5.05,North West
2007,5.76,North West
2008,6.18,North West
2009,6.09,North West
2010,5.67,North West
2011,5.53,North West
2012,5.22,North West
2013,6.02,North West
2014,6.38,North West
2015,6.15,North West
2016,5.8,North West
1995,4.68,North
1996,4.55,North
1997,4.97,North
1998,5.17,North
1999,4.79,North
2000,4.98,North
2001,5.43,North
2002,5.61,North
2003,6.15,North
2004,7.42,North
2005,6.68,North
2006,6.18,North
2007,6.1,North
2008,6.6,North
2009,6.25,North
2010,6.53,North
2011,5.68,North
2012,5.33,North
2013,5.11,North
2014,5.13,North
2015,5.28,North
2016,6,North
