month,region,price
2008-05,East Midlands,5
2009-12,South West,10
2000-10,South East,8
2012-11,South East,10
2002-03,Yorkshire and The Humber,8
2005-03,South East,7
1999-06,South East,4
2005-01,South West,4
2013-01,London,6
1999-07,South East,5
2000-12,Yorkshire and The Humber,4.5
2015-05,Yorkshire and The Humber,5
2005-03,West Midlands,6
1995-06,North East ,7
2002-06,Wales,4
2015-08,Northern Ireland,5
1998-07,South West,2
1996-05,South West,5
2002-09,Yorkshire and The Humber,7
2007-02,West Midlands,5
2002-08,London,5
1999-08,Scotland,3.5
1997-08,Wales,5
2002-12,Northern Ireland,5
1998-02,South East,9
1999-09,South East,5
2003-09,East,5
1999-11,East Midlands,5
2007-10,London,8
2007-02,North East ,5
1997-05,South East,6
2001-10,Scotland,4
2001-08,Northern Ireland,3
2013-06,Northern Ireland,5
2009-03,East,6
2009-03,North East ,6
2000-03,South East,3
2011-09,North West,6
2001-10,East Midlands,5
2010-05,Scotland,6
2008-09,London,7
2006-08,East,10
2010-11,South East,5
1998-03,South West,3
2005-09,North West,3
1999-07,South East,5
2005-08,East,10
2004-12,London,8
2000-10,North West,7
2014-07,South West,10
2012-07,West Midlands,5
2005-12,Yorkshire and The Humber,5
2000-01,Yorkshire and The Humber,7
2012-05,Scotland,6
2005-04,East Midlands,4.5
2008-03,West Midlands,5
2005-10,South West,3
1996-09,North West,5
2004-01,Scotland,7
2008-02,East Midlands,6
2001-09,South East,6
2000-10,South East,5
2001-02,Scotland,4.5
2013-01,West Midlands,5
2007-07,Scotland,8
2013-05,London,5
2002-12,Yorkshire and The Humber,6
2014-11,West Midlands,6
2005-09,Scotland,7
1998-02,South East,7
1999-03,South West,3
2005-08,Yorkshire and The Humber,4
1998-10,Scotland,2
2000-09,West Midlands,6
1999-06,South West,6
2004-03,Scotland,4
2003-07,South East,10
1998-05,East,6
2012-11,West Midlands,10
2015-03,Scotland,10
2008-03,East,7
1996-08,London,10
2005-05,Scotland,7
1998-07,Yorkshire and The Humber,5
2001-12,London,7
1999-04,Yorkshire and The Humber,4.5
2002-02,South East,7.5
2004-04,North West,3
2006-05,London,10
2009-09,East Midlands,7
2002-03,East,8
1999-12,Northern Ireland,4
1998-12,South West,3
2013-12,Yorkshire and The Humber,5
2013-04,West Midlands,5
2011-04,North East ,5
2001-07,Scotland,5
2002-11,London,10
2002-04,South East,5
2007-01,Scotland,8
1996-05,Wales,4
2009-09,East Midlands,6
1999-09,South East,5
2014-09,West Midlands,4
2005-05,North West,6
2009-03,East,5.5
1999-04,East Midlands,4
2009-02,South West,6
1997-12,Yorkshire and The Humber,3.5
2010-04,Yorkshire and The Humber,7.5
2007-04,London,15
2006-01,Scotland,8
2007-06,South East,6
2003-02,South West,5
1995-06,Northern Ireland,6
1997-05,South West,4.5
1996-07,North West,5
2005-01,North West,8
2009-08,East Midlands,6
2008-08,South East,10
2005-11,South East,6
2001-08,South East,10
2007-09,North East ,7
2009-07,East Midlands,5
2003-11,East Midlands,5
2001-06,South East,5
2007-03,Yorkshire and The Humber,6
2000-11,South East,5
2004-08,Scotland,4
2007-03,North West,5
2006-11,Yorkshire and The Humber,7
2000-10,North West,4
2007-12,South East,10
2001-12,Yorkshire and The Humber,5
2009-03,South West,10
2015-06,East,5
2006-01,West Midlands,5
2014-11,North West,6
2005-02,Scotland,7
1996-12,North West,4
2005-05,West Midlands,10
2006-03,London,20
2015-12,West Midlands,5
1998-08,London,3
2011-09,Yorkshire and The Humber,0.9
2010-07,Northern Ireland,5
2008-09,Scotland,8
1995-10,South West,4.5
2011-01,South West,6
2004-04,West Midlands,6
2000-07,South East,7
2006-06,South East,4
2006-10,West Midlands,12
1999-10,South West,4
2007-10,West Midlands,5
1999-01,London,10
1995-12,Scotland,3.5
2000-03,Scotland,5
2014-03,South West,4
2003-05,London,10
1997-03,Northern Ireland,5
2006-09,Scotland,5
1998-01,South East,5
1998-03,South East,5
2005-05,East,10
2013-06,East Midlands,10
1996-07,Wales,3
1997-01,South East,6
2007-11,North West,6
2005-04,South West,3
2011-05,London,5
2002-03,London,15
2009-09,Scotland,5
1998-06,London,8
2005-02,London,7
2004-02,North West,4
2009-12,London,5
1996-04,North East ,3.5
2005-12,London,10
2001-11,North West,5
2009-04,Yorkshire and The Humber,6
1996-12,South East,4
2009-07,North East ,6
2004-06,London,5
2002-04,South East,8
1997-10,East,3
2001-04,Scotland,3.5
2013-04,Yorkshire and The Humber,5
2012-01,Scotland,3.5
2011-04,South East,8
1996-11,South West,4.5
2002-08,East,3
2012-08,South West,6.5
2002-02,Northern Ireland,5
2014-07,South East,6
2001-11,South East,6
2004-12,South East,4
2010-12,Northern Ireland,10
2005-03,North West,6
2010-03,South East,7.5
1995-06,South East,6
1996-12,North East ,5
2007-07,North West,5
2012-09,East,5
2014-03,London,5
2001-12,South West,6
2006-12,West Midlands,6
2006-04,North West,5
2002-04,London,8
2013-08,South East,10
2011-09,Yorkshire and The Humber,5
1997-05,South East,4
2007-10,London,15
1995-07,East Midlands,5
1995-12,South East,5
2005-07,North East ,10
2006-08,East,10
2007-10,London,15
2004-07,Yorkshire and The Humber,3
2010-12,South West,6
2013-09,Northern Ireland,5
2006-01,South West,4
1995-07,North East ,3
1999-08,South East,7
2007-12,Scotland,5
2002-10,North East ,6
2010-05,South East,10
2014-04,Northern Ireland,6
2002-07,North West,5
2001-05,London,5
2002-01,North East ,6
1996-02,East Midlands,2.5
2000-05,London,15
2012-10,South West,6
2004-10,South East,7
2014-03,South East,6.5
2013-08,North West,6
1996-03,North East ,7
2002-05,Wales,6
2003-12,Northern Ireland,4
2004-08,London,23
2006-02,Wales,4
2005-11,South West,5
2002-06,South East,7
2008-11,Yorkshire and The Humber,6
2008-05,Scotland,8
1998-12,South East,5
2013-08,East,5
2008-01,Scotland,10
1996-08,Scotland,3.5
1997-02,London,8
2014-10,South East,10
1996-04,Scotland,3.5
2010-02,South West,5
1999-07,North West,5
2001-07,North East ,3
1998-07,North East ,5
2010-07,London,8
2011-07,Northern Ireland,5
1999-10,Yorkshire and The Humber,5
2015-06,London,15
2002-09,South East,7
2014-05,London,15
2000-03,South West,5
1996-02,South East,5
1996-06,East,2.5
2006-02,North East ,6
2012-04,South East,5
2012-06,South East,5
2006-11,Northern Ireland,5
2013-11,Scotland,4
2015-04,South East,5
2012-04,East,12
2008-02,Scotland,10
2014-05,East,5
2014-05,North East ,7
2001-10,West Midlands,6
2000-06,Wales,2.5
2002-11,London,7
1996-08,East Midlands,4
2004-11,South East,5
2003-11,South East,5
2010-07,West Midlands,5
2005-07,Scotland,8
2003-10,Northern Ireland,5
2014-05,London,10
2009-10,South West,5
2011-12,Northern Ireland,7
1995-06,London,10
2010-07,South West,6
1995-05,London,10
2002-10,South East,5
2006-01,London,8
2000-02,East,7.5
2008-12,North West,8
2006-02,London,15
2003-01,West Midlands,3
2005-06,East,10
1997-01,London,10
2014-06,London,10
2006-03,Wales,6
1995-04,East Midlands,6
1999-03,Scotland,4
2014-08,South East,5
1997-06,South East,5
1999-07,Yorkshire and The Humber,6
2012-05,East,12
1999-04,West Midlands,3
1999-05,South East,7
2011-05,West Midlands,10
2015-07,South West,3
2002-04,London,5
2013-10,North East ,5
2000-07,East Midlands,4
2004-09,North West,7
2007-04,North East ,7
2003-10,London,5
2009-11,East,10
1996-05,Yorkshire and The Humber,4
2014-07,East,5
2011-01,South East,8
1997-04,West Midlands,5
1999-05,East Midlands,5
2013-11,London,8
1998-11,Yorkshire and The Humber,5.5
2011-03,North West,5.5
2002-12,North West,4
2013-08,East,7
2010-08,London,15
2012-12,East,5
2012-09,South East,4
1998-09,South West,5
2002-12,East,6
2015-05,West Midlands,8
2006-11,West Midlands,6
2003-05,North East ,3.5
2002-08,North West,4
2009-09,West Midlands,5
2000-07,Northern Ireland,5
2004-11,East Midlands,6
2014-04,North West,5
2015-09,West Midlands,5
2002-01,South East,4
2006-06,London,10
2002-03,South West,3
1997-02,London,6
2008-04,London,6
1996-05,London,5
2004-07,South East,5.5
2001-11,Wales,5
1995-04,South West,4
2008-02,London,15
2010-02,London,5
1998-11,South East,6
2013-07,Scotland,6
2013-03,East Midlands,5
2001-01,Yorkshire and The Humber,5
2006-03,London,15
1997-03,Yorkshire and The Humber,3
2014-12,East,10
2016-01,North East ,10
2005-01,Yorkshire and The Humber,14
2011-04,Yorkshire and The Humber,5
1998-06,London,3
2009-05,South East,6.5
1999-12,Yorkshire and The Humber,3
2014-01,Yorkshire and The Humber,0.99
1995-08,North West,5
2007-11,East,5
1996-01,West Midlands,3
1996-02,North West,3
2007-01,West Midlands,5
